city,date,temp_max,temp_min,temp_avg,humidity,wind_speed,precipitation,conditions,data_source
Mumbai,2025-03-08,33.4,23.3,29.0,41.4,17.5,0.0,Clear,visualcrossing_historical
Mumbai,2025-03-09,32.4,23.9,27.5,64.7,31.0,0.0,Clear,visualcrossing_historical
Mumbai,2025-03-09,29.55,29.55,29.55,47.0,5.07,0.0,clear sky,openweathermap_realtime
Delhi,2025-03-08,29.0,14.0,21.6,48.5,16.6,0.0,Clear,visualcrossing_historical
Delhi,2025-03-09,33.0,16.0,25.2,35.3,11.2,0.0,Clear,visualcrossing_historical
Delhi,2025-03-09,32.39,32.39,32.39,10.0,1.24,0.0,clear sky,openweathermap_realtime
Bangalore,2025-03-08,33.0,18.0,25.9,39.9,16.4,0.0,Partially cloudy,visualcrossing_historical
Bangalore,2025-03-09,34.6,18.9,26.9,39.8,24.5,0.0,Partially cloudy,visualcrossing_historical
Bangalore,2025-03-09,33.31,33.31,33.31,14.0,4.73,0.0,broken clouds,openweathermap_realtime
Hyderabad,2025-03-08,36.0,18.0,27.2,30.8,18.4,0.0,Clear,visualcrossing_historical
Hyderabad,2025-03-09,34.3,20.0,27.8,40.4,19.8,0.0,Clear,visualcrossing_historical
Hyderabad,2025-03-09,34.09,34.09,34.09,16.0,4.29,0.0,clear sky,openweathermap_realtime
Chennai,2025-03-08,33.0,24.0,28.4,70.3,24.1,0.0,Partially cloudy,visualcrossing_historical
Chennai,2025-03-09,31.0,24.0,27.3,68.8,18.7,0.0,Clear,visualcrossing_historical
Chennai,2025-03-09,29.25,29.25,29.25,51.0,5.22,0.0,clear sky,openweathermap_realtime
Kolkata,2025-03-08,31.0,21.0,26.2,66.7,18.4,0.0,Partially cloudy,visualcrossing_historical
Kolkata,2025-03-09,34.4,22.0,27.5,61.7,23.8,0.0,Partially cloudy,visualcrossing_historical
Kolkata,2025-03-09,33.42,33.42,33.42,23.0,2.04,0.0,clear sky,openweathermap_realtime
Ahmedabad,2025-03-08,36.0,19.0,27.8,35.3,7.6,0.0,Clear,visualcrossing_historical
Ahmedabad,2025-03-09,38.6,20.0,30.1,30.8,14.8,0.0,Clear,visualcrossing_historical
Ahmedabad,2025-03-09,37.14,37.14,37.14,11.0,0.32,0.0,clear sky,openweathermap_realtime
Pune,2025-03-08,35.7,22.0,27.9,15.0,24.5,0.0,Clear,visualcrossing_historical
Pune,2025-03-09,34.9,22.1,28.0,20.1,13.0,0.0,Clear,visualcrossing_historical
Pune,2025-03-09,34.42,34.42,34.42,12.0,2.29,0.0,clear sky,openweathermap_realtime
Jaipur,2025-03-08,31.0,16.0,24.3,28.9,13.0,0.0,Clear,visualcrossing_historical
Jaipur,2025-03-09,33.0,17.0,25.5,24.1,16.9,0.0,Clear,visualcrossing_historical
Jaipur,2025-03-09,32.18,32.18,32.18,12.0,4.15,0.0,clear sky,openweathermap_realtime
Lucknow,2025-03-08,29.0,13.0,21.2,52.1,24.1,0.0,Clear,visualcrossing_historical
Lucknow,2025-03-09,32.9,14.0,23.8,39.2,13.0,0.0,Clear,visualcrossing_historical
Lucknow,2025-03-09,32.28,32.28,32.28,10.0,1.34,0.0,clear sky,openweathermap_realtime
Kanpur,2025-03-08,29.0,13.0,21.2,52.1,24.1,0.0,Clear,visualcrossing_historical
Kanpur,2025-03-09,33.8,14.0,24.0,39.9,13.0,0.0,Clear,visualcrossing_historical
Kanpur,2025-03-09,33.19,33.19,33.19,9.0,2.46,0.0,clear sky,openweathermap_realtime
Nagpur,2025-03-08,37.0,16.0,27.3,23.9,13.0,0.0,Clear,visualcrossing_historical
Nagpur,2025-03-09,35.8,22.0,29.1,21.3,13.0,0.0,Clear,visualcrossing_historical
