Country,Cluster
ad,1
ae,0
af,0
ag,3
ai,4
al,0
am,0
ao,0
ar,3
as,2
at,2
au,3
aw,0
ax,1
az,3
ba,3
bb,2
bd,2
be,4
bf,3
bg,1
bh,2
bi,1
bj,2
bl,2
bm,1
bn,2
bo,2
br,3
bs,2
bt,1
bw,0
by,2
bz,4
ca,0
cd,0
cf,4
cg,2
ch,3
ci,0
ck,0
cl,0
cm,2
cn,0
co,1
cr,3
cu,0
cv,0
cw,3
cz,3
de,0
dj,3
dk,3
dm,4
do,3
dz,4
ec,3
ee,0
eg,4
eh,3
er,4
es,4
et,2
eu,4
fi,3
fj,3
fk,2
fm,3
fo,4
fr,2
ga,4
gb,0
gd,1
ge,3
gg,4
gh,4
gi,3
gl,3
gm,3
gn,4
gq,0
gr,3
gt,3
gu,4
gw,0
gy,0
hn,0
hr,0
ht,0
hu,3
id,2
ie,4
il,3
im,4
in,1
iq,1
ir,4
is,3
it,3
je,4
jm,4
jo,4
jp,3
ke,0
kg,2
kh,3
ki,4
km,3
kn,3
kp,2
kr,0
kw,0
ky,1
kz,3
la,0
lb,4
lc,4
li,0
lk,4
lr,4
ls,0
lt,2
lu,3
lv,4
ly,1
ma,3
mc,4
md,2
me,4
mf,1
mg,0
mh,3
mk,2
ml,0
mm,2
mn,0
mp,3
mq,1
mr,0
ms,3
mt,0
mu,0
mv,2
mw,0
mx,0
my,0
mz,4
na,3
nc,1
ne,1
nf,0
ng,1
ni,3
nl,3
no,0
np,1
nr,1
nu,1
nz,2
om,3
pa,0
pe,1
pf,3
pg,4
ph,3
pk,2
pl,3
pn,3
pr,4
ps,4
pt,0
pw,0
py,1
qa,2
re,3
ro,2
rs,0
ru,3
rw,2
sa,4
sb,3
sc,0
sd,2
se,0
sg,4
sh,1
si,1
sk,0
sl,2
sm,0
sn,0
so,4
sr,0
ss,4
st,0
sv,4
sy,4
sz,3
tc,1
td,4
tg,2
th,2
tj,0
tk,1
tl,3
tm,4
tn,2
to,4
tr,4
tt,0
tv,1
tw,4
tz,3
ua,0
ug,0
us,0
uy,1
uz,3
va,4
vc,1
ve,0
vg,1
vi,4
vn,2
vu,3
ws,3
ye,0
za,0
zm,3
zw,1
