,tempo,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10,chroma11,chroma12
ad,99.38401442307692,1670.7949337290327,833.4108517352894,3054.0901436307413,1808.5357389149938,-271.76633,119.22792,176.06476,48.100006,-31.66018,35.47621,8.793731,28.281523,-9.32436,20.241968,9.654454,14.750306,-3.8230832,11.474271,1.1903102,9.867645,-5.4056106,9.977879,0.4685378,9.036692,-5.2158146,6.984677,-3.4520466,7.0683517,-4.242979,7.468117,0.22452213,0.27195975,0.47088444,0.2502319,0.27667654,0.17995456,0.32624543,0.35279316,0.24161512,0.40997225,0.24475224,0.37647963
ae,120.18531976744185,1571.820441666899,530.3766592525845,2910.913495373143,1183.433389308834,-234.22481,95.68352,196.0921,32.16997,-36.08236,27.022568,22.904593,20.09472,-3.987522,17.85995,7.7468987,12.286258,-2.7982876,11.536719,-3.250339,8.7026615,-4.047235,6.627954,-5.7286935,6.442271,-3.2660208,6.3338943,-2.5782435,6.424859,0.6408928,7.1940355,0.506693,0.23883083,0.20355676,0.15856291,0.3239505,0.36195648,0.2348368,0.3946618,0.27118447,0.40188056,0.35413602,0.31926745
af,117.45383522727273,1851.0698724944675,1508.0119175919485,3321.048184742647,2490.4513803102745,-257.7591,115.61871,195.60954,57.433228,-37.550056,19.582418,20.214788,16.349741,1.7004868,12.089394,8.360407,10.474854,-1.7320203,8.618239,0.42319486,8.033675,-7.399762,7.111454,-3.2878199,7.338106,-5.9120784,6.5529985,-1.3232273,6.102769,-0.38169456,5.8815074,0.24061206,0.26552385,0.36730027,0.52640265,0.3337354,0.40263075,0.40701288,0.33196598,0.34148854,0.33168697,0.5090222,0.30158722
ag,70.79409246575342,929.1191548016226,484.12730143554825,1664.2418406834113,1080.564596194002,-290.93726,104.353134,229.69965,73.73943,-15.188223,20.945591,-11.565019,11.819335,18.696741,8.984939,0.45849955,7.0533347,-2.389044,7.140841,-4.371824,6.859089,-4.400267,6.5729036,-3.6737049,6.1968637,-5.36695,6.748269,-2.8300636,6.9397306,-3.0278237,6.370675,0.39778513,0.24363162,0.3596924,0.31325698,0.3791101,0.52380496,0.30805948,0.3699208,0.2531245,0.3774172,0.4473616,0.29446623
ai,120.18531976744185,1840.9111994541945,715.6436415928797,3582.363163958241,1677.9592680213136,-227.24385,105.09703,152.65108,44.837498,-24.524302,20.13357,23.237837,17.166124,-6.53767,15.057913,10.758486,11.417131,-0.890284,10.773727,4.204537,8.77754,0.06006757,8.081281,1.2027082,6.898502,1.5487548,6.130883,1.7981732,6.273195,1.9753175,6.3282924,0.3714997,0.2410881,0.28673542,0.22238064,0.43561277,0.42987353,0.27720124,0.33238146,0.2547374,0.363798,0.25780907,0.25384155
al,93.96306818181819,1553.1113124224712,594.7710518022087,2991.5462892687433,1502.2615760392764,-224.12764,92.61856,197.6824,33.31501,-27.914394,29.912062,24.409325,25.865025,-5.9149604,16.24982,9.16257,13.995863,-5.398207,9.047782,-1.5893356,9.390128,-6.2811317,7.198389,-8.486204,7.3226376,-3.250893,7.313292,-6.3825135,6.140735,-1.4621245,7.502108,0.3572026,0.2553063,0.27908868,0.47889662,0.293162,0.24390994,0.1855438,0.3624082,0.4506364,0.31054428,0.3999036,0.2339568
am,112.34714673913044,1519.0936208610476,418.5608080883899,2836.5906000697437,1162.7071084974853,-224.4927,112.211044,192.25932,48.88833,-37.40306,28.77032,27.006628,9.602365,-5.90242,9.045678,11.416593,5.9568396,-1.8124931,6.863049,-2.0235527,5.796396,-3.6389112,5.7776403,-11.173564,6.972364,-5.4972534,6.064293,-6.0586143,6.167957,3.1631985,6.3170877,0.25806537,0.21919854,0.5496853,0.67886806,0.41604912,0.4005969,0.29091185,0.45224082,0.3358969,0.2788962,0.40081444,0.25034603
ao,95.703125,1764.343289612727,496.8791447327057,3610.7553614761937,1288.6145201367228,-209.52238,67.246315,184.0806,21.154066,-32.217426,18.321053,44.761284,15.1185255,-10.402921,12.893353,10.037027,9.216807,-6.670933,7.899705,2.1973224,6.831221,-7.773488,6.429929,-9.744684,6.541777,-6.8595767,5.7726207,-8.902441,6.1915126,0.36593616,5.7776117,0.2182689,0.23063666,0.40923125,0.36814582,0.25037712,0.4174788,0.3126631,0.4524214,0.37566784,0.35557747,0.5431607,0.31603268
ar,126.04801829268293,1245.9527083797916,487.72811123148045,2259.1946287574488,1103.5148928578476,-267.8401,91.39273,190.98048,33.838955,-9.766498,34.692474,1.6338347,24.658669,6.5766325,13.748729,2.1525433,12.077241,-3.3869884,9.405526,-3.2894707,8.543291,-7.2745104,8.46063,-6.5712676,8.124767,-5.315807,7.6969094,-6.2137437,7.0819635,-2.9811895,7.6576643,0.3662127,0.31487784,0.45697385,0.35731146,0.37094444,0.52015376,0.2834339,0.19596125,0.22057576,0.3893574,0.4099133,0.26635683
as,47.8515625,2485.4769693372145,764.1379345629375,5122.449283512188,1849.3880839200074,-169.96533,89.17651,135.87602,30.64222,-33.152916,19.986948,28.399231,19.080782,-11.710052,12.085963,12.957414,12.546171,-1.4504482,8.312526,10.4237385,12.068263,0.9662873,7.653288,2.9254222,8.375875,1.2926182,6.0136867,2.117616,7.03809,0.54853106,6.0722375,0.4279211,0.3229727,0.31968388,0.5110145,0.2663537,0.30180842,0.2598089,0.4789488,0.45495823,0.33074045,0.5028152,0.2850827
