city,date,temp_max,temp_min,temp_avg,humidity,wind_speed,precipitation,conditions,data_source
Mumbai,2025-02-07,32.8,23.8,28.0,54.3,14.9,0.0,Clear,visualcrossing_historical
Mumbai,2025-02-08,32.9,23.7,28.2,53.2,13.6,0.0,Clear,visualcrossing_historical
Mumbai,2025-02-09,32.4,23.0,28.2,49.4,16.0,0.0,Clear,visualcrossing_historical
Mumbai,2025-02-10,32.0,24.4,27.9,44.3,19.4,0.0,Clear,visualcrossing_historical
Mumbai,2025-02-11,30.4,23.0,26.7,48.1,17.1,0.0,Clear,visualcrossing_historical
Mumbai,2025-02-12,31.0,21.0,26.1,49.6,18.4,0.0,Clear,visualcrossing_historical
Mumbai,2025-02-13,33.4,22.1,27.3,49.2,19.3,0.0,Clear,visualcrossing_historical
Mumbai,2025-02-14,34.1,23.4,28.5,42.6,20.4,0.0,Clear,visualcrossing_historical
Mumbai,2025-02-15,34.4,22.7,28.5,40.3,19.3,0.0,Clear,visualcrossing_historical
Mumbai,2025-02-16,33.4,21.6,27.7,39.4,20.5,0.0,Clear,visualcrossing_historical
Mumbai,2025-02-17,31.7,21.7,27.2,50.0,18.4,0.0,Clear,visualcrossing_historical
Mumbai,2025-02-18,34.1,24.0,28.3,48.3,17.8,0.0,Clear,visualcrossing_historical
Mumbai,2025-02-19,32.4,23.0,27.8,50.7,21.1,0.0,Clear,visualcrossing_historical
Mumbai,2025-02-20,33.7,23.7,28.3,47.1,19.3,0.0,Clear,visualcrossing_historical
Mumbai,2025-02-21,35.0,24.0,29.4,38.1,16.6,0.0,Clear,visualcrossing_historical
Mumbai,2025-02-22,34.7,24.6,29.2,41.2,19.0,0.0,Clear,visualcrossing_historical
Mumbai,2025-02-23,34.4,24.6,29.7,41.7,16.0,0.0,Clear,visualcrossing_historical
Mumbai,2025-02-24,36.3,24.9,30.2,37.2,14.8,0.0,Clear,visualcrossing_historical
Mumbai,2025-02-25,35.3,24.7,29.8,37.9,16.7,0.0,Partially cloudy,visualcrossing_historical
Mumbai,2025-02-26,36.0,25.0,29.9,42.6,17.6,0.0,Clear,visualcrossing_historical
Mumbai,2025-02-27,35.0,25.3,29.9,45.6,19.4,0.0,Clear,visualcrossing_historical
Mumbai,2025-02-28,33.4,25.6,29.8,47.8,14.8,0.0,Clear,visualcrossing_historical
Mumbai,2025-03-01,33.0,25.7,29.1,48.4,14.8,0.0,Clear,visualcrossing_historical
Mumbai,2025-03-02,33.0,25.4,28.9,47.5,19.8,0.0,Clear,visualcrossing_historical
Mumbai,2025-03-03,33.7,25.0,29.0,44.5,19.8,0.0,Partially cloudy,visualcrossing_historical
Mumbai,2025-03-04,35.0,25.0,29.4,42.5,19.8,0.0,Partially cloudy,visualcrossing_historical
Mumbai,2025-03-05,34.4,22.9,29.7,35.3,19.5,0.0,Clear,visualcrossing_historical
Mumbai,2025-03-06,33.4,23.8,29.1,31.0,16.6,0.0,Clear,visualcrossing_historical
Mumbai,2025-03-07,33.5,22.9,29.3,32.3,18.4,0.0,Clear,visualcrossing_historical
Mumbai,2025-03-08,33.4,23.3,29.0,41.4,17.5,0.0,Clear,visualcrossing_historical
Mumbai,2025-03-09,32.4,23.9,27.5,64.7,31.0,0.0,Clear,visualcrossing_historical
