Audio File,Number of Beeps,Beep Timestamps (seconds)
audio_only_ID_1.wav,12,1.164|1.619|2.734|4.264|4.852|5.818|8.086|8.868|11.319|11.884|14.553|17.784
audio_only_ID_10.wav,20,0.519|0.997|1.552|2.434|3.619|4.652|5.686|6.719|7.752|8.786|9.819|10.850|11.886|12.919|13.952|14.986|16.019|17.052|18.086|19.119
audio_only_ID_11.wav,30,0.336|1.002|1.669|2.334|3.002|3.669|4.336|5.000|5.669|6.336|7.002|7.668|8.336|9.002|9.669|10.334|11.002|11.669|12.336|13.002|13.669|14.336|15.002|15.669|16.336|17.002|17.669|18.336|19.002|19.669
audio_only_ID_12.wav,13,0.582|1.752|3.236|4.052|6.318|8.552|9.702|10.752|12.918|15.052|16.169|17.152|19.218
audio_only_ID_13.wav,23,0.436|1.368|2.169|3.036|3.902|4.769|5.636|6.502|7.369|8.236|9.102|9.969|10.836|11.702|12.569|13.368|14.303|15.169|16.036|16.902|17.769|18.636|19.502
audio_only_ID_14.wav,14,0.902|1.734|2.702|4.502|6.302|8.102|9.902|10.734|11.702|12.900|13.502|15.303|17.102|18.902
audio_only_ID_15.wav,25,0.402|1.202|2.002|2.802|3.602|4.402|5.202|6.002|6.802|7.602|8.402|9.202|10.002|10.802|11.602|12.402|13.202|14.002|14.803|15.602|16.402|17.202|18.002|18.802|19.602
audio_only_ID_16.wav,10,0.777|2.419|3.332|4.600|7.252|9.568|12.000|14.400|16.919|19.100
audio_only_ID_17.wav,16,0.719|2.152|3.586|4.400|5.019|6.452|7.886|9.319|10.752|11.552|12.186|13.619|15.053|16.486|17.919|19.352
audio_only_ID_18.wav,14,0.417|1.186|2.617|3.552|5.917|8.286|10.068|10.652|12.118|13.019|14.134|15.386|16.118|17.752
