Country,Cluster
tr,1
gb,1
ae,2
ph,4
er,4
mv,2
bz,3
lc,4
pl,1
sb,4
cr,3
cn,1
ve,1
al,2
vg,4
ru,2
mu,2
jp,4
ms,4
gw,1
ni,4
ne,1
bg,4
cd,0
hu,4
ca,2
nr,2
kg,0
ck,2
me,0
mh,4
sr,0
sl,2
bh,1
fm,4
ge,4
mw,1
gd,1
lr,1
gu,2
om,4
iq,4
sk,2
pa,1
sv,3
hr,2
ly,4
ug,0
mn,0
lu,4
ss,0
do,3
pk,2
cm,1
pg,1
ls,0
ws,4
gi,1
ng,4
uz,4
vu,0
my,2
cz,4
np,4
tg,0
zm,0
bt,4
am,0
ro,1
bn,1
il,4
mc,1
je,1
ad,1
kp,1
mm,2
la,4
vc,0
sz,4
rw,0
it,4
gg,1
li,0
to,1
tj,0
lb,2
ke,2
az,4
et,0
at,4
cg,0
kn,0
mk,1
py,3
vi,0
mf,1
za,4
bm,4
br,4
mr,0
sd,4
nu,2
bb,1
gl,4
pr,4
va,3
tn,2
nf,2
tl,4
md,1
ki,0
so,2
gy,0
bj,1
ee,2
im,1
sn,0
bw,2
sc,0
in,4
gn,4
ax,4
fk,3
ps,2
ir,1
re,4
aw,4
af,2
ag,0
jo,1
kz,0
cv,4
gq,0
ma,4
ie,1
tk,4
cl,4
sg,1
se,0
td,1
tc,2
mx,3
us,4
dz,4
sa,2
eg,0
kr,4
lv,2
sy,4
ar,0
pf,4
mz,0
tz,0
gt,3
gm,4
fj,0
kw,2
ua,2
ao,0
ga,4
cu,4
ml,0
pw,2
pt,0
ai,2
no,1
na,0
sh,4
co,1
dm,1
eh,0
gh,1
by,2
ky,4
mg,2
ht,3
vn,1
tv,4
de,1
bo,3
qa,1
uy,3
ci,0
tm,0
st,0
th,2
bs,1
hn,4
id,2
pe,3
zw,0
nz,4
bl,1
pn,4
jm,4
dj,4
bd,1
fr,1
kh,4
mt,2
cf,4
tt,4
bf,0
km,2
cw,4
lt,0
ye,2
au,4
