,text_length,text_sentiment_polarity,text_sentiment_subjectivity,text_theme_patriotism,text_theme_freedom,text_theme_war,text_theme_peace,text_theme_nature,text_theme_religion,image_color_count,image_red_dominance,image_green_dominance,image_blue_dominance,image_brightness,image_complexity,audio_duration,audio_tempo,audio_energy,audio_pitch_mean,audio_pitch_std,audio_volume
tr,459,0.215427121818555,0.6091543513957307,2.6143790849673203,1.3071895424836601,0.0,0.0,2.6143790849673203,1.3071895424836601,3,0.47024390243902436,0.25853658536585367,0.27121951219512197,0.6699346405228759,33.88214869219483,83.87918367346938,84.72079918032787,0.045630634,1433.608,993.82214,0.03640708
gb,87,0.2694805194805195,0.6571428571428571,0.0,0.0,0.0,0.0,0.0,6.896551724137931,3,0.4154126766985864,0.26219790241678065,0.3223894208846329,0.5733333333333333,72.59476565152615,63.08571428571429,117.45383522727273,0.07396798,1327.4208,959.0998,0.059607048
ae,107,0.24454545454545454,0.48,7.476635514018691,0.0,0.0,0.9345794392523363,1.8691588785046727,1.8691588785046727,3,0.3729508196721312,0.330327868852459,0.2967213114754098,0.531590413943355,28.284271247461902,48.457142857142856,123.046875,0.09887443,1217.4639,878.9181,0.07907277
ph,97,0.2642857142857143,0.6285714285714287,1.0309278350515463,1.0309278350515463,0.0,0.0,8.24742268041237,1.0309278350515463,4,0.41142527409117136,0.309867282169648,0.2787074437391806,0.5663398692810458,137.9130160644745,61.988571428571426,97.50884433962264,0.083475396,1063.7369,789.5697,0.06697427
er,65,0.1,0.55,1.5384615384615385,0.0,1.5384615384615385,0.0,0.0,0.0,4,0.39667128987517336,0.35575589459084606,0.24757281553398058,0.47124183006535947,163.65818036383027,119.51020408163265,107.666015625,0.042383183,1240.7043,899.699,0.034070577
mv,54,0.024999999999999994,0.075,9.25925925925926,0.0,1.8518518518518516,1.8518518518518516,0.0,3.7037037037037033,3,0.37897310513447435,0.3235533822330888,0.2974735126324368,0.534640522875817,35.0,68.17959183673469,117.45383522727273,0.15050402,1159.7277,804.3455,0.12144068
bz,145,0.2759259259259259,0.4388888888888889,0.6896551724137931,3.4482758620689653,0.0,0.0,5.517241379310345,0.6896551724137931,24,0.3634818542340121,0.35824974172693036,0.27826840403905756,0.2949235834684751,3021.7279824630145,162.35102040816327,101.33272058823529,0.058722604,1222.3755,844.07074,0.047175314
lc,106,0.38393939393939386,0.5887878787878787,0.9433962264150944,0.0,0.9433962264150944,0.0,4.716981132075472,0.0,3,0.33665008291873966,0.3692647871752349,0.2940851299060254,0.788235294117647,34.52535300326414,43.885714285714286,126.04801829268293,0.09218031,977.0364,700.72833,0.07457024
pl,80,-0.009659090909090912,0.25625,1.25,0.0,3.75,0.0,1.25,0.0,2,0.4460093896713615,0.25821596244131456,0.29577464788732394,0.696078431372549,16.852299546352718,42.86693877551021,107.666015625,0.10586793,1160.9581,823.3727,0.08501552
sb,46,0.8,0.2,4.3478260869565215,0.0,0.0,2.1739130434782608,10.869565217391305,2.1739130434782608,4,0.31952662721893493,0.3763313609467456,0.30414201183431955,0.5522875816993464,131.52946437965906,63.92163265306122,114.84375,0.057208776,1268.7051,895.28284,0.04610541
